path,obj1,total1,obj2,total2,ch12,ch21
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell8/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_after002-600box1_peaks_clust_ch1.tif,349,32941,77,7717,88,79
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell8/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_before004-600box_peaks_clust_ch1.tif,469,34549,6,412,2,2
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell9/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_after002-600box2_peaks_clust_ch1.tif,237,21905,103,10773,127,107
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell9/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_before004-600box2_peaks_clust_ch1.tif,336,30267,5,748,6,2
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after-600box_peaks_clust_ch1.tif,161,11529,1,108,0,0
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_before005-600box_peaks_clust_ch1.tif,138,14346,1,16,0,0
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/MitoCell2/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after001-600box_peaks_clust_ch1.tif,121,5208,58,3102,60,57
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/MitoCell2/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_before003-600box_peaks_clust_ch1.tif,168,11163,6,1102,6,4
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/MitoCell3/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after-600box_peaks_clust_ch1.tif,249,14115,88,5016,94,82
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/MitoCell3/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_before004-600box_peaks_clust_ch1.tif,268,23804,0,0,0,0
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/MitoCell4/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after004-600box_peaks_clust_ch1.tif,227,28141,76,12546,115,87
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/MitoCell4/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_before-600box_peaks_clust_ch1.tif,198,28044,19,2734,1,1
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/MitoCell5/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after005-600box_peaks_clust_ch1.tif,185,16761,194,25460,152,136
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/MitoCell5/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_before005-600box_peaks_clust_ch1.tif,136,17649,64,11422,23,23
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/MitoCell6/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after003-600box_peaks_clust_ch1.tif,137,8784,19,924,27,23
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/MitoCell6/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_before-600box_peaks_clust_ch1.tif,280,26109,0,0,0,0
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/MitoCell7/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_after-600box_peaks_clust_ch1.tif,130,6704,153,14205,108,99
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/MitoCell7/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_before007-600box_peaks_clust_ch1.tif,195,16693,6,452,1,1
LD347n4/LBRFKBPGFPStarFRB/IntCell1/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish1_after007-600box_peaks_clust_ch1.tif,0,0,51,2701,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell1/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish1_before002-600box_peaks_clust_ch1.tif,0,0,2,24,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell10/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish3_after002-800box_peaks_clust_ch1.tif,0,0,316,18170,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell10/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish3_before002-800box_peaks_clust_ch1.tif,1,24,4,391,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell2/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish1_after006-800box_peaks_clust_ch1.tif,0,0,66,3552,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell2/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish1_before-800box_peaks_clust_ch1.tif,1,53,7,1081,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell3/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish1_after004-700box_peaks_clust_ch1.tif,1,37,212,10887,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell3/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish1_before003-700box_peaks_clust_ch1.tif,0,0,13,2524,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell4/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish1_after003-700box_peaks_clust_ch1.tif,0,0,448,34954,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell4/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish1_before004-700box_peaks_clust_ch1.tif,1,25,143,21380,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell5/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish1_after002-600box_peaks_clust_ch1.tif,0,0,89,8542,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell5/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish1_before005-600box_peaks_clust_ch1.tif,0,0,35,5735,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell6/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish1_after001-600box_peaks_clust_ch1.tif,1,10,411,30674,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell6/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish1_before006-600box_peaks_clust_ch1.tif,1,114,173,25779,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell7/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish2_after-800box_peaks_clust_ch1.tif,0,0,642,40641,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell7/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish2_before003-800box_peaks_clust_ch1.tif,0,0,22,3537,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell8/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish2_after002-600box_peaks_clust_ch1.tif,0,0,200,9093,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell8/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish2_before001-600box_peaks_clust_ch1.tif,0,0,4,184,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell9/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish3_after002-700box_peaks_clust_ch1.tif,0,0,884,63163,0,0
LD347n4/LBRFKBPGFPStarFRB/IntCell9/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish3_before002-700box_peaks_clust_ch1.tif,1,80,163,22103,0,0
LD347n4/LBRFKBPGFPStarFRB/MitoCell1/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish1_after-600box_peaks_clust_ch1.tif,0,0,90,5413,0,0
LD347n4/LBRFKBPGFPStarFRB/MitoCell1/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish1_before007-600box_peaks_clust_ch1.tif,1,96,2,561,0,0
LD347n4/LBRFKBPGFPStarFRB/MitoCell2/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish2_after001-600box_peaks_clust_ch1.tif,0,0,99,11773,0,0
LD347n4/LBRFKBPGFPStarFRB/MitoCell2/231214_LD347n4_HCT116_LBRFKBPGFPStarFRB_dish2_before002-600box_peaks_clust_ch1.tif,0,0,10,1153,0,0
LD347n6/LBRFKBPGFP6DG5MAPStarFRB/IntCell1/240123_LD347n6_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after001-600box_peaks_clust_ch1.tif,471,22822,4,159,1,3
