path,obj,total
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell4/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3001-600box_peaks_clust_ch1.tif,112,13600
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell4/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3001-600box_peaks_clust_ch2.tif,1,20
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell4/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after004-600box_peaks_clust_ch1.tif,133,13965
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell4/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after004-600box_peaks_clust_ch2.tif,5,241
LD347n3/LBRFKBPGFPStarFRB/IntCell1/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1-600box_peaks_clust_ch1.tif,1,58
LD347n3/LBRFKBPGFPStarFRB/IntCell1/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1-600box_peaks_clust_ch2.tif,59,11568
LD347n3/LBRFKBPGFPStarFRB/IntCell1/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1_after003-600box_peaks_clust_ch1.tif,0,0
LD347n3/LBRFKBPGFPStarFRB/IntCell1/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1_after003-600box_peaks_clust_ch2.tif,347,22732
LD347n3/LBRFKBPGFPStarFRB/MitoCell1/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1001-600box_peaks_clust_ch1.tif,0,0
LD347n3/LBRFKBPGFPStarFRB/MitoCell1/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1001-600box_peaks_clust_ch2.tif,0,0
LD347n3/LBRFKBPGFPStarFRB/MitoCell1/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1_after002-600box_peaks_clust_ch1.tif,0,0
LD347n3/LBRFKBPGFPStarFRB/MitoCell1/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1_after002-600box_peaks_clust_ch2.tif,43,2513
LD347n3/LBRFKBPGFPStarFRB/MitoCell2/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1002-600box_peaks_clust_ch1.tif,0,0
LD347n3/LBRFKBPGFPStarFRB/MitoCell2/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1002-600box_peaks_clust_ch2.tif,21,4012
LD347n3/LBRFKBPGFPStarFRB/MitoCell2/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1_after001-600box_peaks_clust_ch1.tif,0,0
LD347n3/LBRFKBPGFPStarFRB/MitoCell2/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1_after001-600box_peaks_clust_ch2.tif,138,16951
LD347n3/LBRFKBPGFPStarFRB/MitoCell3/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish2_004-600box_peaks_clust_ch1.tif,0,0
LD347n3/LBRFKBPGFPStarFRB/MitoCell3/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish2_004-600box_peaks_clust_ch2.tif,42,7160
LD347n3/LBRFKBPGFPStarFRB/MitoCell3/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish2_after-600box_peaks_clust_ch1.tif,0,0
LD347n3/LBRFKBPGFPStarFRB/MitoCell3/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish2_after-600box_peaks_clust_ch2.tif,197,25028
LD347n3/LBRFKBPGFPStarFRB/MitoCell4/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish2_003-600box_peaks_clust_ch1.tif,0,0
LD347n3/LBRFKBPGFPStarFRB/MitoCell4/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish2_003-600box_peaks_clust_ch2.tif,18,4295
LD347n3/LBRFKBPGFPStarFRB/MitoCell4/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish2_after001-600box_peaks_clust_ch1.tif,0,0
LD347n3/LBRFKBPGFPStarFRB/MitoCell4/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish2_after001-600box_peaks_clust_ch2.tif,155,18893
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell1/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after005-700box_peaks_clust_ch1.tif,270,24965
