"cell_channel","cond","cell_type","cell_state","rep","obj"
"ch2","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n4",4
"ch1","LBRFKBPGFPStarFRB","Interphase","Post","LD347n4",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Post","LD347n4",66
"ch1","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n4",1
"ch2","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n4",7
"ch1","LBRFKBPGFPStarFRB","Interphase","Post","LD347n4",1
"ch2","LBRFKBPGFPStarFRB","Interphase","Post","LD347n4",212
"ch1","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n4",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n4",13
"ch1","LBRFKBPGFPStarFRB","Interphase","Post","LD347n4",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Post","LD347n4",89
"ch1","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n4",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n4",35
"ch1","LBRFKBPGFPStarFRB","Interphase","Post","LD347n4",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Post","LD347n4",642
"ch1","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n4",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n4",22
"ch1","LBRFKBPGFPStarFRB","Interphase","Post","LD347n4",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Post","LD347n4",200
"ch1","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n4",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n4",4
"ch1","LBRFKBPGFPStarFRB","Metaphase","Post","LD347n4",0
"ch2","LBRFKBPGFPStarFRB","Metaphase","Post","LD347n4",90
"ch1","LBRFKBPGFPStarFRB","Metaphase","Pre","LD347n4",1
"ch2","LBRFKBPGFPStarFRB","Metaphase","Pre","LD347n4",2
"ch1","LBRFKBPGFPStarFRB","Metaphase","Post","LD347n4",0
"ch2","LBRFKBPGFPStarFRB","Metaphase","Post","LD347n4",99
"ch1","LBRFKBPGFPStarFRB","Metaphase","Pre","LD347n4",0
"ch2","LBRFKBPGFPStarFRB","Metaphase","Pre","LD347n4",10
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Post","LD347n6",631
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Post","LD347n6",274
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Pre","LD347n6",807
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Pre","LD347n6",9
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Post","LD347n6",289
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Post","LD347n6",22
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Pre","LD347n6",376
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Pre","LD347n6",0
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Post","LD347n6",365
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Post","LD347n6",367
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Pre","LD347n6",415
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Pre","LD347n6",1
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Post","LD347n6",189
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Post","LD347n6",96
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Pre","LD347n6",138
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Pre","LD347n6",13
